0;3;14;9;0;0;2;9;6;2;0;7;6;10;18;11;14;0;18;19;7;1;0;1;6;4;0;3;0;11;7;11;0;6;0;6;2;0;0;8;4;0;2;5;3;3;2;3;9;3;4;4;2;10
8;27;16;1;0;6;1;10;5;6;7;12;2;3;8;11;13;1;20;7;13;0;3;0;1;6;0;4;0;16;8;15;0;2;0;3;3;0;1;5;8;0;2;7;1;0;2;4;16;2;8;3;4;9
13;23;6;3;0;2;1;7;4;7;0;19;2;7;9;5;8;0;15;6;16;2;1;1;1;7;0;7;0;9;5;16;0;8;2;3;4;0;2;13;8;0;12;3;5;2;2;3;10;4;3;0;5;10
3;7;5;6;0;5;2;4;2;3;3;7;1;6;6;32;25;3;13;21;14;6;2;1;1;4;0;2;0;20;5;14;0;9;1;0;3;0;2;8;5;0;6;2;1;2;1;13;14;8;3;2;9;14
13;33;10;5;0;1;2;3;9;5;2;22;4;6;12;14;12;4;19;10;17;3;2;1;0;13;0;10;0;15;1;15;2;6;3;11;13;0;1;9;6;0;4;2;0;0;1;3;8;3;1;0;4;4
16;29;7;5;0;6;2;7;5;3;2;15;4;12;15;6;5;0;9;13;29;3;0;0;0;13;0;4;0;10;7;28;1;8;1;4;3;0;1;14;15;0;4;4;5;1;5;1;6;1;1;5;3;11
0;0;2;2;0;0;1;2;4;3;0;7;1;13;7;10;14;0;16;28;8;0;0;3;6;4;0;5;0;13;5;16;0;6;5;2;3;0;2;8;11;1;3;2;1;3;4;3;3;5;2;3;2;3
1;2;6;5;0;5;1;3;0;0;2;4;0;6;3;7;18;0;14;21;8;1;0;0;1;2;0;1;0;9;6;15;0;8;2;3;3;0;2;4;7;1;3;3;1;0;3;10;16;5;7;4;8;7
14;34;12;6;0;3;2;5;8;6;4;10;0;14;13;4;3;0;5;16;17;2;0;1;0;5;0;5;0;13;11;8;0;12;0;1;5;0;5;11;10;1;6;4;6;4;6;0;2;3;0;4;3;7
11;12;4;5;0;1;7;6;9;7;0;12;4;21;14;6;3;0;22;23;5;2;0;0;1;10;0;3;0;14;6;10;0;2;1;4;8;0;4;12;29;1;15;8;8;2;3;2;1;2;1;3;5;16
11;29;10;4;0;6;1;8;2;9;3;11;6;5;19;8;8;0;11;8;13;4;3;0;0;4;0;6;0;21;4;16;0;8;2;6;6;0;3;14;9;0;7;7;3;1;3;3;8;2;3;0;5;6
7;13;13;11;0;1;2;18;11;10;3;14;1;12;9;8;10;0;18;25;5;0;1;2;3;5;0;4;0;20;8;15;0;11;1;8;12;0;3;18;20;0;9;10;9;3;4;1;3;2;4;1;4;7
13;27;11;8;1;3;2;11;9;12;10;15;3;9;11;3;4;0;14;17;16;3;0;0;0;11;0;7;0;13;8;11;0;8;2;5;6;0;2;15;17;0;9;2;7;3;5;0;7;1;3;1;8;9
14;38;5;8;0;3;3;9;5;8;8;8;3;7;22;8;8;0;10;6;13;1;2;0;0;6;0;2;0;14;3;17;0;8;2;2;4;1;1;7;6;1;7;5;0;3;5;5;12;1;7;2;4;15
4;1;7;7;0;0;2;8;4;5;1;23;2;7;17;14;9;0;13;26;9;0;1;0;4;6;0;8;0;8;5;13;0;6;0;2;0;0;2;14;15;5;15;7;1;4;4;2;6;0;4;6;5;21
17;23;13;5;0;1;3;10;4;1;1;10;1;7;11;15;10;2;8;14;20;3;2;0;0;16;0;9;0;15;3;10;1;4;1;6;8;0;2;11;9;0;5;6;5;1;1;5;14;5;4;1;7;8
